,YEAR,MONTH,ORIGIN_AIRPORT_ID,count,Description,IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
2001,2020,6,12173,1469,"Honolulu, HI: Daniel K Inouye International",HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072
2002,2020,6,12191,2354,"Houston, TX: William P Hobby",HOU,William P X,Houston,TX,USA,29.64541861,-95.27888889
2003,2020,6,12266,1415,"Houston, TX: George Bush Intercontinental/Houston",IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
2004,2020,6,12478,1780,"New York, NY: John F. Kennedy International",JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
2005,2020,6,12889,5530,"Las Vegas, NV: McCarran International",LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333
2006,2020,6,12892,4402,"Los Angeles, CA: Los Angeles International",LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
2007,2020,6,12953,1435,"New York, NY: LaGuardia",LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
2008,2020,6,13198,1073,"Kansas City, MO: Kansas City International",MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
2009,2020,6,13204,4840,"Orlando, FL: Orlando International",MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
2010,2020,6,13232,4625,"Chicago, IL: Chicago Midway International",MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444
2011,2020,6,13303,2223,"Miami, FL: Miami International",MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556
2012,2020,6,13487,1836,"Minneapolis, MN: Minneapolis-St Paul International",MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
2013,2020,6,13495,1201,"New Orleans, LA: Louis Armstrong New Orleans International",MSY,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778
2014,2020,6,13796,1800,"Oakland, CA: Metropolitan Oakland International",OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167
2015,2020,6,13930,3173,"Chicago, IL: Chicago O'Hare International",ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
2016,2020,6,14057,1075,"Portland, OR: Portland International",PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
2017,2020,6,14100,1770,"Philadelphia, PA: Philadelphia International",PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
2018,2020,6,14107,4913,"Phoenix, AZ: Phoenix Sky Harbor International",PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
2019,2020,6,14635,1123,"Fort Myers, FL: Southwest Florida International",RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667
2020,2020,6,14679,2195,"San Diego, CA: San Diego International",SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567
2021,2020,6,14683,1023,"San Antonio, TX: San Antonio International",SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778
2022,2020,6,14747,4272,"Seattle, WA: Seattle/Tacoma International",SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131
2023,2020,6,14771,2341,"San Francisco, CA: San Francisco International",SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433
2024,2020,6,14831,1482,"San Jose, CA: Norman Y. Mineta San Jose International",SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089
2025,2020,6,14869,2610,"Salt Lake City, UT: Salt Lake City International",SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731
2026,2020,6,14893,1682,"Sacramento, CA: Sacramento International",SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669
2027,2020,6,14908,1026,"Santa Ana, CA: John Wayne Airport-Orange County",SNA,John Wayne  Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225
2028,2020,6,15016,2368,"St. Louis, MO: St Louis Lambert International",STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972
2029,2020,6,15304,2460,"Tampa, FL: Tampa International",TPA,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325
2030,2020,7,10299,1175,"Anchorage, AK: Ted Stevens Anchorage International",ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
2031,2020,7,10397,14460,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
2032,2020,7,10423,2752,"Austin, TX: Austin - Bergstrom International",AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
2034,2020,7,10693,4124,"Nashville, TN: Nashville International",BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
2035,2020,7,10721,4907,"Boston, MA: Logan International",BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
2036,2020,7,10800,1043,"Burbank, CA: Bob Hope",BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969
2037,2020,7,10821,6350,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
2038,2020,7,11042,1505,"Cleveland, OH: Cleveland-Hopkins International",CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667
2039,2020,7,11057,5866,"Charlotte, NC: Charlotte Douglas International",CLT,Charlotte Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
2040,2020,7,11066,1156,"Columbus, OH: John Glenn Columbus International",CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278
2041,2020,7,11259,4092,"Dallas, TX: Dallas Love Field",DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222
2042,2020,7,11278,2875,"Washington, DC: Ronald Reagan Washington National",DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
2043,2020,7,11292,11803,"Denver, CO: Denver International",DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
2044,2020,7,11298,10889,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
2045,2020,7,11433,3704,"Detroit, MI: Detroit Metro Wayne County",DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
2046,2020,7,11618,3486,"Newark, NJ: Newark Liberty International",EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
2047,2020,7,11697,4741,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275
2049,2020,7,12173,2269,"Honolulu, HI: Daniel K Inouye International",HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072
